04-05-2022_18-20,0,-81.95466670917777,-87.24933088402469,-71.4682743733242
04-05-2022_18-24,0,-0.6315132646649531,-0.7962575850695092,-0.4889883364193699
04-05-2022_18-28,0,-1.659401403709472,-2.3387658662859803,-0.09033207914469339
04-05-2022_18-31,0,-50.50460795176823,-79.51885461083594,-8.386660409959283
04-05-2022_19-00,0,-61.69478232007817,-108.34949050900819,-3.387525592369313
04-05-2022_19-38,0,-1.1592362378772938,-2.5002819344423886,-0.09237447657958635
04-05-2022_22-03,0,-0.4458973381567277,-0.8218852705575114,-0.09772625637558428
04-06-2022_00-03,0,-1.515120712675051,-2.2765777959334907,-0.2936767640361571
04-06-2022_00-04,1,-1.4050993398018488,-1.997186396478432,-0.48528047699101784
04-06-2022_00-05,2,-1.3095376171965905,-2.281435818039109,-0.32859117926617265
04-06-2022_00-05,3,-1.0339718477898252,-1.7439334732985536,-0.2868316221910777
04-06-2022_00-06,4,-1.4460807683502912,-1.907651813121081,-0.8778196370798671
04-06-2022_00-06,5,-1.4012678519898663,-2.1471120291513617,-0.5564262341770114
04-06-2022_00-07,6,-1.3423311486109863,-2.3039200380282887,-0.11999813473973071
04-06-2022_00-07,7,-1.3607448352155107,-2.1424293741401974,-0.882467650889286
04-06-2022_00-08,8,-1.4062333317213827,-2.368164222957323,-0.6958480344973287
04-06-2022_00-09,9,-1.6642083341990381,-2.5446451861753716,-0.33812536224175815
